irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
37201|NEWHM : B078.41|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied Flowerpecker||Non palearctic skin of a White-bellied Flowerpecker||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.||Asia, India, Upper Assam, North Lakhimpur, Subansiri Gorge|1||||non palearctic skin|Stevens, H.||||||||1
37202|NEWHM : B078.42|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-bellied flowerpecker||Non palearctic skin of a White-bellied Flowerpecker. 4,000ft. approx. elev. White-bellied herpornis, herpornis xantholeuca according to Oates and Blanford vol.1, p.219.||White-bellied Flowerpecker|Dicaeidae : : : Aves : Chordata|Stevens, H.|12/02/1906|Asia, India, Upper Assam, Abor Miri Hills, Vicinity Of Beni Chang||1|||non palearctic skin|Stevens, H.||||||||1
37219|NEWHM : B078.59|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Spotted-wing Grosbeak||Non palearctic skin of a Spotted-wing Grosbeak||Spotted-wing Grosbeak|Fringillidae : : : Aves : Chordata|Elwes, H. J.|1870|Asia, India, Darjeeling|||||non palearctic skin|||||||||1
37220|NEWHM : B078.60|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-winged Grosbeak||Non palearctic skin of a White-winged Grosbeak||White-winged Grosbeak|Fringillidae : : : Aves : Chordata|Stevens, H.|23/03/1917|Sikkim, Sikkim, Karponang|1||||non palearctic skin|Stevens, H.||120|mm|||||1
37221|NEWHM : B078.61|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-winged Grosbeak||Non palearctic skin of a White-winged Grosbeak||White-winged Grosbeak|Fringillidae : : : Aves : Chordata|Stevens, H.|23/03/1917|Sikkim, Sikkim, Karponang||1|||non palearctic skin|Stevens, H.||113|mm|||||1
37222|NEWHM : B078.62|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|White-winged Grosbeak||Non palearctic skin of a White-winged Grosbeak. Correctly sexed.||White-winged Grosbeak|Fringillidae : : : Aves : Chordata|Stevens, H.|09/03/1920|Sikkim, Lakhung|1||||non palearctic skin|Stevens, H.||115|mm|||||1
37233|NEWHM : B078.73|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Rufous-fronted Long-tailed Warbler||Non palearctic skin of a Rufous-fronted Long-tailed Warbler. Iris-yellow brown, legs-pale fleshy yellow.||Rufous-fronted Long-tailed Warbler|Muscicapidae - Sylviinae : : : Aves : Chordata|Ticehurst, C. B.|07/07/1918|India, Sind, Karachi||1|||non palearctic skin|Ticehurst, C. B.||||||||1
37261|NEWHM : B079.01|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Common Coucal||Non palearctic skin of a Common Coucal||Common Coucal|Cuculidae : : : Aves : Chordata|Stevens, H.|1904-09-|Asia, India, Upper Assam, Sibsagar, Komlabarie||1|juvenile||non palearctic skin|Stevens, H.||||||||1
37262|NEWHM : B079.02|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Common Coucal||Non palearctic skin of a Common Coucal||Common Coucal|Cuculidae : : : Aves : Chordata|Stevens, H.|28/08/1908|Asia, India, Upper Assam, North Lakhimpur, Dejoo|||juvenile||non palearctic skin|Stevens, H.||||||||1
37263|NEWHM : B079.03|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Coucal||Non palearctic skin of a Lesser Coucal||Lesser Coucal|Cuculidae : : : Aves : Chordata|Stevens, H.|09/07/1904|Asia, India, Upper Assam, North Lakhimpur, Dejoo||1|adult||non palearctic skin|Stevens, H.|||||||<SUMMARY-DESCRIPT>: Before repair.|1
