irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
123788|NEWHM : HANM.1.3531|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123789|NEWHM : HANM.1.3532|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||5|gastropod mollusc||||||||||||||||||1
123790|NEWHM : HANM.1.3533|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123791|NEWHM : HANM.1.3534|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123792|NEWHM : HANM.1.3535|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123793|NEWHM : HANM.1.3536|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123794|NEWHM : HANM.1.3537|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123795|NEWHM : HANM.1.3538|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123796|NEWHM : HANM.1.3539|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123797|NEWHM : HANM.1.3540|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123798|NEWHM : HANM.1.3541|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123799|NEWHM : HANM.1.3542|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123800|NEWHM : HANM.1.3543|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123801|NEWHM : HANM.1.3544|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123802|NEWHM : HANM.1.3545|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123803|NEWHM : HANM.1.3546|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123804|NEWHM : HANM.1.3547|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|shell?||||||||||||||||||1
123805|NEWHM : HANM.1.3548|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123806|NEWHM : HANM.1.3549|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||4|gastropod mollusc||||||||||||||||||1
123807|NEWHM : HANM.1.3550|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123808|NEWHM : HANM.1.3551|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123809|NEWHM : HANM.1.3552|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123810|NEWHM : HANM.1.3553|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123811|NEWHM : HANM.1.3554|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123812|NEWHM : HANM.1.3555|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123813|NEWHM : HANM.1.3556|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||1|gastropod mollusc||||||||||||||||||1
123814|NEWHM : HANM.1.3557|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123815|NEWHM : HANM.1.3558|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123816|NEWHM : HANM.1.3559|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123817|NEWHM : HANM.1.3560|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
123818|NEWHM : HANM.1.3561|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123819|NEWHM : HANM.1.3562|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||3|gastropod mollusc||||||||||||||||||1
123820|NEWHM : HANM.1.3563|Natural Sciences|Invertebrate Zoology|GNM: Hancock Temporary Numbers||2|gastropod mollusc||||||||||||||||||1
