irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpePreparation|DimHeight|DimDiameter|DimLengthUnit|ParentSum|MulDescription|NumMulFiles
530461|NEWHM : 2016.H3.17|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Bol. intens"" and ""Ringpilz"". Number 17 of 91, Box E, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||74|61|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530462|NEWHM : 2016.H3.18|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaric pantherinus"" and ""Bantherfchnamm"". Number 18 of 91, Box F, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||83|62|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530463|NEWHM : 2016.H3.19|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. rimosus"" and ""Riffiger Blatterfchnamm"". Number 19 of 91, Box F, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||105|60|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530464|NEWHM : 2016.H3.20|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Bol. subtomentosus"" and ""Blegenlippe"". Number 20 of 91, Box G, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||92|65|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530465|NEWHM : 2016.H3.21|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Boletus pachypus"" and ""Didfus?"". Number 21 of 91, Box G, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||93|81|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530466|NEWHM : 2016.H3.22|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaric volemus"""". Number 22 of 91, Box H, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||65|71|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530467|NEWHM : 2016.H3.23|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Bol. bovinus"" and ""Ruhpilz"". Number 23 of 91, Box H, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||75|72|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530468|NEWHM : 2016.H3.24|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus conicus"" and ""Regelfchm?"". Number 24 of 91, Box I, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||88|44|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530300|NEWHM : 2016.H3|Natural Sciences|Botany|Fungi|91|fungi|model fungi|A collection of 91 plaster models of fungi. Most are in good condition although they are dirty. Eight of the fungi models are damaged.||Fungus, Mushroom, Toadstool|Fungi : : : :|||||||||"Label attached to lid of original box containing plaster fungi models. The label reads ""Species not on the British List""."|1
530480|NEWHM : 2016.H3.35|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Ag. pratensis"" and ""Biefenfchnamm"". Number 35 of 91, Box L, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||70|49|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530481|NEWHM : 2016.H3.36|Natural Sciences|Botany|Fungi|1|fungi|model fungi|"Model of fungi labelled ""Agaricus pomonae"" and ""Maifchnamm"". Number 36 of 91, Box L, collection NEWHM:2016.H3"||Fungus, Mushroom, Toadstool|Fungi : : : :|||||59|45|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
530482|NEWHM : 2016.H3.37|Natural Sciences|Botany|Fungi|1|fungi|model fungi|Model of fungi unlabelled. Number 37 of 91, Box L, collection NEWHM:2016.H3||Fungus, Mushroom, Toadstool|Fungi : : : :|||||70|49|mm|[NEWHM : 2016.H3] fungi, Fungus, Mushroom, Toadstool, Fungi||1
