irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|LocalPrecise|SpeStatus|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|ColCollectionName|ConConsObjectDescription|MulDescription|NumMulFiles
20844|NEWHM : T0157|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||These shells belong to a small snail from Australia. It lives in the leaf litter of forest areas, feeding on a variety of different plants. They are the type specimens - the shells that were first used to identify the species. They were collected near Port Dennyson in the northern Australian state of Queensland.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Australasia, Australia, Queensland, Port Denison||type||||||||2
20874|NEWHM : T0187|Natural Sciences|Invertebrate Zoology|Molluscs||1|mollusc|||||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, New Georgia||||||||||2
20883|NEWHM : T0196|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||These shells are from the collection of George French Angas (1822-1886), a Newcastle man who travelled through Australia. Although best known as an artist and author, Angas also built up a shell collection. They are type specimens (the specimens used when the species was first described) of Helix ambrosia, a land snail from the Solomon Islands.||Mollusca & Gastropoda & Stylommatophora & Helicidae : : : : Mollusca|Angas, Mr George French||Solomon Islands, Santa Isabel Island||type||||||||2
195689|NEWHM : 00663|Natural Sciences|Invertebrate Zoology|Molluscs||3|mollusc|||||Mollusca & & & : : : : Mollusca|Temperley, Mr G. W.|1934|UK, England, Co. Durham (NE England), Butterby Marsh|||||||Amalgamated Collection|||1
195690|NEWHM : 00664|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||Manchester, Plants Brook|||||||Amalgamated Collection|||1
195691|NEWHM : 00665|Natural Sciences|Invertebrate Zoology|Molluscs||2|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, Scotland, Dumfries and Galloway (Scotland), Dalbeattie (burn)|||||||Amalgamated Collection|||1
195692|NEWHM : 00666|Natural Sciences|Invertebrate Zoology|Molluscs||13|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Berkshire (SE England), Kintbury|Kent and Avon Canal||||||Amalgamated Collection|||1
195693|NEWHM : 00667|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Cambridgeshire (SE England), Cambridge|||||||Amalgamated Collection|||1
195694|NEWHM : 00668|Natural Sciences|Invertebrate Zoology|Molluscs||6|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Hampshire (SE England), Whitchurch|Test, River||||||Amalgamated Collection|||1
195695|NEWHM : 00669|Natural Sciences|Invertebrate Zoology|Molluscs||4|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Northamptonshire, Daventry (nr.), Lower Shuckborough|||||||Amalgamated Collection|||1
195696|NEWHM : 00670|Natural Sciences|Invertebrate Zoology|Molluscs||9|mollusc|||||Mollusca & & & : : : : Mollusca|||UK, England, Northumberland (NE England), Prestwick Carr|||||||Amalgamated Collection|||1
