irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
139758|NEWHM : HANM.5.3661|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil limestone (open display sedimentary)||Fossil limestone.|||||||||||||||||||8
143253|NEWHM : HANM.509|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil trilobite||Trilobite. (Ogigiocaris selwyni, wales, ordovician fossils drawer.||||||||||UK, Wales|||||||||1
143259|NEWHM : HANM.518|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil coral||Coral (lonsdaleia floriformis, carboniferous fossils drawer 2).|||||||||||||||||||6
143264|NEWHM : HANM.523|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil brachiopod||Brachiopod (horridonia horrida, humbledon hill sunderland, permian fossils drawer 1)|||||||||||||||||||1
143265|NEWHM : HANM.524|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil brachiopod||Brachiopod 'horridonia horrida', Humbledon Hill, Sunderland, permian fossils drawer 1.|||||||||||||||||||1
143268|NEWHM : HANM.527|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil marine reptile||Ichthyosaur vertebra. (ichthyosaurus, jurassic fossils drawer 1)|||||||||||||||||||1
143273|NEWHM : HANM.532|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil gastropod||Gastropod. (bathrotomaria, jurassic fossils drawer 2)|||||||||||||||||||1
143274|NEWHM : HANM.533|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Horsetail plant (jurassic fossils drawer 2)|||||||||||||||||||1
143275|NEWHM : HANM.534|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|plant leaves (otozanites feistmanteli, jurassic fossils drawer 2)||Plant leaves.|||||||||||||||||||1
143276|NEWHM : HANM.535|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil coral||Coral (Thecosmilia, Jurassic fossils drawer 2)|||||||||||||||||||1
143277|NEWHM : HANM.536|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|2|fossil ammonite||Asteroceras obtusum, jurassic fossils drawer 2).|||||||||||||||||||1
