irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
81969|NEWHM : G16.08|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Carboniferous||Coal Measures Group & Low Main Seam|palaeoniscus & sp., Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
81970|NEWHM : G16.09|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark||Carboniferous||Coal Measures Group & Low Main Seam|Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
82575|NEWHM : G22.10|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Jaw with squamosal, jugal, and (?)palatine.||Carboniferous||Coal Measures Group|, Animalia & Chordata & Vertebrata & Amphibia & Embolomere|Animalia & Chordata & Vertebrata & Amphibia & Embolomere : : : :||Atthey, Thomas|1844|UK, England, Tyne and Wear (NE England), Jarrow|Jarrow Colliery||||||||1
82588|NEWHM : G22.23|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Tooth.||Carboniferous||Coal Measures Group & Low Main Seam|pleuroplax & rankinii (woodward 1889), Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Ba|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Batoidea (After Romer) : : : :||Atthey, Thomas||UK, England, Tyne and Wear, Newcastle upon Tyne|Kenton Colliery||||||||1
82610|NEWHM : G22.45|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Carboniferous||Coal Measures Group & Low Main Seam|pleuroplax & rankinii (woodward 1889), Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Ba|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Batoidea (After Romer) : : : :||Atthey, Thomas||UK, England, Tyne and Wear, Newcastle upon Tyne, Kenton|||||||||1
82611|NEWHM : G22.46|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Scattered bones, including some of ctenodus sp., etc.||Carboniferous||Coal Measures Group & Low Main Seam|, Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Ba|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Batoidea (After Romer) : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
82614|NEWHM : G22.49|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Carboniferous||Coal Measures Group & Low Main Seam|pleuroplax & rankinii (woodward 1889), Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Ba|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Batoidea (After Romer) : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
82623|NEWHM : G22.58|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Fish||Carboniferous||Coal Measures Group & Low Main Seam|pleuroplax & rankinii (woodward 1889), Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Ba|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Batoidea (After Romer) : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
82631|NEWHM : G22.66|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark||Carboniferous||Coal Measures Group|Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||no locality data|||7.4|3.2|1.1||||1
82632|NEWHM : G22.67|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Shark||Carboniferous||Coal Measures Group|Shark, palaeoniscid, Animalia & Chordata & Vertebrata & Pisces|Animalia & Chordata & Vertebrata & Pisces : : : :||Atthey, Thomas||no locality data|||7.9|3.2|2.2||||2
82635|NEWHM : G22.70|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Plates and ribs.||Carboniferous||Coal Measures Group|, Sarcopterygii & Dipnoi (After Romer)|Sarcopterygii & Dipnoi (After Romer) : : : : Chordata||Dinning, W. D.||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||18.4|21.9|2||||1
82714|NEWHM : G23.49|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Fragment of rib.||Carboniferous||Coal Measures Group|Keraterpeton reticulatum, Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : Amphibia : Chordata||Atthey, Thomas||no locality data|||||||||1
82787|NEWHM : G24.22|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil fish||Spine.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam|xenacanthus & denticulatus (davis), Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Pl|Animalia & Chordata & Vertebrata & Pisces & Chondrichthyes & Elasmobranchii & Pleuracanthodii (After Romer) : : : :||||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
82789|NEWHM : G24.24|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Isolated quadratojugal.||Carboniferous & Westphalian B||Coal Measures Group & Low Main Seam (shale above)|pholiderpeton & attheyi (watson), Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria |Animalia & Chordata & Vertebrata & Amphibia & Labyrinthodontia & Anthracosauria & Embolomeri & Eogyrinidae : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||| '<SUMMARY-DESCRIPT>: Reverse of specimen.|3
82790|NEWHM : G24.25|Natural Sciences|Palaeobiology|Vertebrate Palaeontology|1|fossil amphibian||Scale.||Carboniferous||Coal Measures Group & Low Main Seam|pteroplax & sp., Animalia & Chordata & Vertebrata & Amphibia|Animalia & Chordata & Vertebrata & Amphibia : : : :||Atthey, Thomas||UK, England, Northumberland (NE England), Blyth, Newsham|Newsham Colliery||||||||1
